date,type,var_pct,var_value,realised_pnl,unrealised_pnl
2025-06-22T11:37:18.256163+00:00,EOD,0.0,0.0,0.0,0.0
2025-06-23T01:08:48.013382+00:00,EOD,0.0,0.0,0.0,75.22101906
2025-06-24T21:05:06.287084+00:00,EOD,0.0,0.0,0.0,-0.5705538
2025-06-24T21:27:13.766388+00:00,Temp,-3.209042537639754,-68.08946456363981,0.0,1.643
2025-06-24T21:43:56.401709+00:00,Temp,-3.6892774986220886,-0.0,0.0,-4.03275108
2025-06-24T21:47:43.494992+00:00,Temp,0.0,0.0,0.0,0.0
2025-06-24T22:00:23.382849+00:00,Temp,-3.209042537639754,-686.6526947462698,0.0,5.45209893
2025-06-24T22:00:24.119189+00:00,Temp,-3.209042537639754,-686.6526947462698,0.0,5.45209893
2025-06-24T22:00:24.320286+00:00,Temp,-3.209042537639754,-686.6526947462698,0.0,5.45209893
2025-06-24T23:32:47.604798+00:00,Temp,-3.209042537639754,-679.1390474905651,0.0,2.38669927
2025-06-24T23:33:46.452398+00:00,Temp,-3.209042537639754,-682.4356278629784,0.0,4.1
2025-06-24T23:38:05.665167+00:00,Temp,0.0,0.0,0.0,0.0
2025-06-24T23:42:25.797924+00:00,Temp,-3.209042537639754,-658.5954583082992,0.0,0.012
2025-06-24T23:44:20.054320+00:00,Temp,-3.209042537639754,-662.6083700771027,0.0,8.7564182
2025-06-24T23:46:16.772669+00:00,Temp,-3.209042537639754,-659.7412854548741,0.0,7.02509999
2025-06-24T23:48:22.969528+00:00,Temp,-3.209042537639754,-658.7172391941829,0.0,1.73946456
2025-06-24T23:54:38.247820+00:00,Temp,-3.209042537639754,-659.0956966952374,0.0,7.63619999
