open_time,open,high,low,close,close_time,volume,signal,stop_loss,fill_status
2025-06-19 04:15:00,103780.1,103781.8,103767.5,103770.8,2025-06-19 04:15:59.999000,4.61,,,
2025-06-19 04:16:00,103772.4,103776.6,103754.9,103757.9,2025-06-19 04:16:59.999000,6.927,,,
2025-06-19 04:17:00,103754.9,103788.0,103749.3,103788.0,2025-06-19 04:17:59.999000,6.579,,,
2025-06-19 04:18:00,103788.0,103900.0,103787.9,103900.0,2025-06-19 04:18:59.999000,20.181,,,
2025-06-19 04:19:00,103900.0,103979.2,103895.8,103979.2,2025-06-19 04:19:59.999000,7.406,,,
2025-06-19 04:20:00,103979.2,104165.1,103978.6,104051.5,2025-06-19 04:20:59.999000,782.186,,,
2025-06-19 04:21:00,104051.1,104057.1,104038.6,104057.1,2025-06-19 04:21:59.999000,10.632,,,
2025-06-19 04:22:00,104056.7,104057.1,104054.2,104057.1,2025-06-19 04:22:59.999000,9.074,,,
2025-06-19 04:23:00,104057.1,104096.5,104055.6,104093.5,2025-06-19 04:23:59.999000,10.231,,,
2025-06-19 04:24:00,104093.5,104103.4,104084.7,104099.3,2025-06-19 04:24:59.999000,4.691,,,
2025-06-19 04:25:00,104099.0,104106.9,104094.5,104094.8,2025-06-19 04:25:59.999000,2.305,,,
2025-06-19 04:26:00,104094.8,104094.9,104076.2,104076.3,2025-06-19 04:26:59.999000,1.426,,,
2025-06-19 04:27:00,104076.3,104080.3,104076.2,104080.2,2025-06-19 04:27:59.999000,6.961,,,
2025-06-19 04:28:00,104080.2,104140.1,104077.6,104139.2,2025-06-19 04:28:59.999000,607.668,,,
2025-06-19 04:29:00,104139.2,104161.0,104139.2,104161.0,2025-06-19 04:29:59.999000,2.448,,,
2025-06-19 04:30:00,104160.1,104204.1,104160.1,104204.1,2025-06-19 04:30:59.999000,11.717,,,
2025-06-19 04:31:00,104205.7,104207.9,104187.2,104207.8,2025-06-19 04:31:59.999000,5.02,,,
2025-06-19 04:32:00,104207.8,104264.1,104196.1,104258.3,2025-06-19 04:32:59.999000,4.388,,,
2025-06-19 04:33:00,104258.3,104260.6,104247.7,104249.9,2025-06-19 04:33:59.999000,7.597,,,
2025-06-19 04:34:00,104249.9,104249.9,104243.2,104245.7,2025-06-19 04:34:59.999000,3.678,,,
2025-06-19 04:35:00,104244.5,104320.7,104243.1,104315.4,2025-06-19 04:35:59.999000,564.007,,,
2025-06-19 04:36:00,104320.7,104387.0,104320.7,104365.1,2025-06-19 04:36:59.999000,15.898,,,
2025-06-19 04:37:00,104365.0,104365.0,104314.5,104328.9,2025-06-19 04:37:59.999000,5.997,,,
2025-06-19 04:38:00,104328.9,104407.4,104328.9,104406.3,2025-06-19 04:38:59.999000,22.123,,,
2025-06-19 04:39:00,104407.4,104413.3,104407.4,104413.2,2025-06-19 04:39:59.999000,3.809,,,
